e,E,s,k
kline,1703897025663,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189491, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '306.934', 'n': 409, 'x': False, 'q': '707299.73426', 'V': '159.822', 'Q': '368281.59245', 'B': '0'}"
kline,1703897026026,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098136, 'o': '42181.40', 'c': '42173.70', 'h': '42181.40', 'l': '42171.70', 'v': '19.501', 'n': 340, 'x': False, 'q': '822493.34990', 'V': '6.621', 'Q': '279242.90210', 'B': '0'}"
kline,1703897026276,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189492, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '306.968', 'n': 410, 'x': False, 'q': '707378.07944', 'V': '159.822', 'Q': '368281.59245', 'B': '0'}"
kline,1703897026440,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030078, 'o': '313.980', 'c': '314.090', 'h': '314.160', 'l': '313.950', 'v': '469.58', 'n': 394, 'x': False, 'q': '147471.60420', 'V': '208.38', 'Q': '65444.07920', 'B': '0'}"
kline,1703897026647,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189496, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '307.339', 'n': 414, 'x': False, 'q': '708232.96475', 'V': '159.936', 'Q': '368544.28037', 'B': '0'}"
kline,1703897026653,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098138, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '19.678', 'n': 342, 'x': False, 'q': '829958.07710', 'V': '6.621', 'Q': '279242.90210', 'B': '0'}"
kline,1703897027112,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098166, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '20.311', 'n': 370, 'x': False, 'q': '856654.17040', 'V': '6.921', 'Q': '291895.15860', 'B': '0'}"
kline,1703897027341,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189497, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '307.416', 'n': 415, 'x': False, 'q': '708410.39354', 'V': '159.936', 'Q': '368544.28037', 'B': '0'}"
kline,1703897027561,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098174, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '20.466', 'n': 378, 'x': False, 'q': '863191.39050', 'V': '6.942', 'Q': '292780.84830', 'B': '0'}"
kline,1703897027746,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189508, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '314.303', 'n': 426, 'x': False, 'q': '724279.90129', 'V': '159.962', 'Q': '368604.19165', 'B': '0'}"
